"Câmara dos Deputados"
"Relatório de Proposições"
"Resultado da Pesquisa"
"Proposições";"Ementa";"Explicação";"Autor";"UF";"Partido";"Apresentação";"Situação";"Link"
"PL 2685/2022";"Institui o Programa Nacional de Renegociação das Dívidas das Famílias – ReFamília e estabelece a necessidade de imposição de limite aos juros cobrados na modalidade cartão de crédito rotativo.


NOVA EMENTA: Institui o Programa Emergencial de Renegociação de Dívidas de Pessoas Físicas Inadimplentes - Desenrola Brasil; estabelece normas para facilitação de acesso a crédito e mitigação de riscos de inadimplemento e de superendividamento de pessoas físicas; altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 10.406, de 10 de janeiro de 2002 (Código Civil), 10.522, de 19 de julho de 2002 e 12.087, de 11 de novembro de 2009; e revoga dispositivo da Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), e a Medida Provisória nº 1.176, de 5 de junho de 2023.";"";"Elmar Nascimento";"BA";"UNIÃO";"27/10/2022";"Transformado em Norma Jurídica";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336393"
"PL 2733/2022";"Altera a Lei nº 13.460, de 26 de junho de 2017, para proibir a cobrança de taxa de religação de serviços públicos e determinar prazo para o seu reestabelecimento após o adimplemento do usuário.
";"";"Eduardo da Fonte";"PE";"PP";"07/11/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2336680"
"PL 2904/2022";"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir conteúdo sobre Educação Financeira.";"";"Francisco Jr.";"GO";"PSD";"01/12/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2340662"
"PL 2903/2022";"Dispõe sobre a inclusão obrigatória do curso de primeiros socorros nas atividades complementares dos ensinos fundamental e médio, do ensino básico.";"";"Francisco Jr.";"GO";"PSD";"01/12/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2340660"
"PL 1068/2022";"Dispõe sobre prática abusiva nas relações entre instituições financeiras e consumidores bancários.";"";"Gustavo Fruet";"PR";"PDT";"29/04/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2320743"
"PL 2616/2022";"O Banco Nacional de Desenvolvimento Social (BNDES) fica obrigado a criar uma linha de crédito com juros reduzidos para financiamento de pessoas com o nome em lista de restrição de crédito e dá outras providências. ";"";"Alexandre Frota";"SP";"PSDB";"17/10/2022";"Aguardando Designação de Relator";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2335650"
"PL 834/2022";"Disciplina o emprego do cartão de crédito ou cartão consignado de benefício em operações de empréstimos e financiamentos mediante desconto automático em folha de pagamentos, de remuneração, de soldo ou de benefícios.";"";"Felício Laterça";"RJ";"PP";"05/04/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2319318"
"PL 2128/2022";"Institui o Programa de Regularização Previdenciária da Construção Civil (PRCC), junto à Secretaria Especial da Receita Federal do Brasil e à Procuradoria-Geral da Fazenda Nacional.";"";"Lídice da Mata";"BA";"PSB";"02/08/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2333403"
"PL 355/2022";"Acrescenta dispositivo à Lei nº 8.080, de
19 de setembro de 1990, estabelecendo
atualização anual da tabela do Sistema
Único de Saúde - SUS.
";"";"Walter Alves";"RN";"MDB";"22/02/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2315046"
"PL 1524/2022";"Altera a Lei nº 9.656, de 3 de maio de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde e a Lei nº 9.961 de 28 de janeiro de 2000 que Cria a Agência Nacional de Saúde Suplementar - ANS para vedar qualquer tipo de aumento nos planos de saúde acima do Índice Nacional de Preços ao Consumidor Amplo – IPCA e dá outras providências.  ";"";"Rejane Dias";"PI";"PT";"07/06/2022";"Tramitando em Conjunto";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2326402"
"PL 2000/2022";"Altera o art. 154 da Lei nº 9.503, de 1997 (Código de Trânsito Brasileiro), para estabelecer a idade máxima de veículos destinados à formação de condutores.";"";"Abou Anni";"SP";"UNIÃO";"13/07/2022";"Aguardando Análise de Parecer";"http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2332351"
